Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
Afghanistan,1974,11869881,420000,0.035383675,35.383675,2,210000,0.017691838,176.91838,0,0,0,,,,280000,0.023589116,23.589116,246000,0.020724723,20.724723,,,,,,,20000,0.001684937,1.6849368,20.711937,56.74503231,211.45203,4.043119,0.4032778
Afghanistan,1975,12157390,435000,0.035780706,35.780706,2.0714,210000,0.017273445,172.73445,0,0,0,,,,290000,0.023853805,23.853805,255000,0.020974897,20.974897,,,,,,,20000,0.00164509,1.64509,20.98988,57.50651997,214.2661,4.0988603,0.4026588
Afghanistan,1976,12425276,448000,0.03605554,36.05554,2.1332998,210000,0.016901033,169.01033,0,0,0,,,,299000,0.024063852,24.063852,263000,0.021166531,21.166531,,,,,,,21000,0.001690103,1.6901033,21.181328,58.03103504,216.2763,4.143501,0.41228864
Afghanistan,1977,12687308,400000,0.03152757,31.52757,1.9047999,210000,0.016551975,165.51975,2000,0.000157638,0.15763786,,,,269000,0.02120229,21.20229,235000,0.018522447,18.522447,,,,,,,19000,0.00149756,1.4975596,18.553505,50.83152004,189.44917,3.6264603,0.35956407
Afghanistan,1978,12938864,428000,0.033078637,33.078637,2.0381,210000,0.016230173,162.30173,3000,0.00023186,0.23185961,,,,288000,0.022258522,22.258522,254000,0.01963078,19.63078,,,,,,,20000,0.001545731,1.5457307,19.63851,53.80413645,200.47601,3.8358855,0.37746745
Afghanistan,1979,12986378,439000,0.03380465,33.80465,2.1311,206000,0.015862776,158.62776,11000,0.000847041,0.84704143,,,,304000,0.023409145,23.409145,270000,0.020791017,20.791017,,,,,,,20000,0.001540075,1.5400753,20.78428,56.94323231,212.19157,4.0629387,0.39812717
Afghanistan,1980,12486640,415000,0.033235524,33.235524,2.1728,191000,0.015296348,152.96348,13000,0.001041113,1.0411127,,,,290000,0.023224823,23.224823,259000,0.020742169,20.742169,,,,,,,19000,0.001521626,1.5216264,20.720016,56.76716656,211.51729,4.0426726,0.4011007
Afghanistan,1981,11155196,390000,0.034961287,34.961287,2.2414,174000,0.015598113,155.98113,18000,0.001613598,1.6135979,,,,278000,0.024921121,24.921121,248000,0.022231793,22.231793,,,,,,,18000,0.001613598,1.6135979,22.255154,60.97302405,227.21175,4.3464375,0.42999515
Afghanistan,1982,10088290,364000,0.036081437,36.081437,2.1994,165500,0.01640516,164.0516,2000,0.00019825,0.19824965,,,,245000,0.024285583,24.285583,217000,0.021510087,21.510087,,,,,,,17000,0.001685122,1.685122,21.502731,58.91159119,219.54826,4.195349,0.41327322
Afghanistan,1983,9951447,350000,0.035170764,35.170764,2.2581,155000,0.015575624,155.75624,10000,0.001004879,1.004879,,,,243000,0.024418559,24.418559,217000,0.021805873,21.805873,,,,,,,16000,0.001607806,1.6078064,21.774061,59.65496105,222.25533,4.256398,0.4182588
Afghanistan,1984,10243689,334000,0.03260544,32.60544,2.2416,149000,0.014545541,145.45541,0,0,0,,,,223000,0.021769501,21.769501,197000,0.019231353,19.231353,,,,,,,16000,0.001561937,1.5619373,19.255812,52.75564879,196.66618,3.760901,0.37030408
Afghanistan,1985,10512220,317000,0.030155381,30.155381,2.2482,141000,0.013412962,134.12962,0,0,0,,,,211000,0.020071879,20.071879,186000,0.017693693,17.693693,,,,,,,15000,0.001426911,1.4269107,17.701118,48.49621321,180.78392,3.4546795,0.33998433
Afghanistan,1986,10448447,336000,0.03215789,32.15789,2.24,150000,0.014356201,143.56201,3000,0.000287124,0.287124,,,,228000,0.021821424,21.821424,200000,0.019141601,19.141601,,,,,,,16000,0.001531328,1.5313281,19.18597,52.56430084,195.9017,3.750965,0.36647362
Afghanistan,1987,10322767,324000,0.031386934,31.386934,2,162000,0.015693467,156.93467,5000,0.000484366,0.48436626,,,,221000,0.021408988,21.408988,193000,0.018696537,18.696537,,,,,,,15000,0.001453099,1.4530987,18.690601,51.20712552,190.7856,3.654527,0.364381
Afghanistan,1988,10383459,343000,0.033033308,33.033308,1.9056,180000,0.017335264,173.35264,1000,9.6307E-05,0.09630702,,,,230000,0.022150615,22.150615,202000,0.019454017,19.454017,,,,,,,16000,0.001540912,1.5409123,19.462547,53.32204604,198.73009,3.807659,0.37122023
Afghanistan,1989,10673172,320000,0.029981716,29.981716,1.8823999,170000,0.015927786,159.27786,4000,0.000374771,0.37477142,,,,218000,0.020425044,20.425044,191000,0.017895335,17.895335,,,,,,,15000,0.001405393,1.4053929,17.863012,48.93975841,182.40236,3.4885411,0.3467526
Afghanistan,1990,10694804,333000,0.031136615,31.136615,1.9029,175000,0.016363086,163.63086,5000,0.000467517,0.46751674,,,,227000,0.02122526,21.22526,199000,0.018607168,18.607168,,,,,,,16000,0.001496054,1.4960537,18.647093,51.08792552,190.38683,3.6416674,0.361973
Afghanistan,1991,10745168,335000,0.031176804,31.176804,1.9363999,173000,0.01610026,161.0026,1000,9.30651E-05,0.093065086,,,,224000,0.02084658,20.84658,197000,0.018333822,18.333822,,,,,,,16000,0.001489041,1.4890414,18.286821,50.10087895,186.75328,3.56816,0.35212108
Afghanistan,1992,12057436,300000,0.024880912,24.880912,1.7142999,175000,0.014513865,145.13865,76000,0.006303164,6.303164,,,,276000,0.02289044,22.89044,249000,0.020651156,20.651156,,,,,,,14000,0.001161109,1.1611092,20.68804,56.67956108,211.26773,4.0436754,0.400931
Afghanistan,1993,14003764,300000,0.02142281,21.42281,1.7142999,175000,0.01249664,124.9664,45000,0.003213422,3.2134217,,,,245000,0.017495297,17.495297,218000,0.015567243,15.567243,,,,,,,14000,0.000999731,0.9997312,15.582704,42.6923393,159.1538,3.0450206,0.30341843
Afghanistan,1994,15455560,342000,0.02212796,22.12796,1.9,180000,0.011646294,116.46294,60000,0.003882098,3.882098,,,,288000,0.018634072,18.634072,260000,0.016822426,16.822426,,,,,,,16000,0.001035226,1.0352262,16.820385,46.08324611,171.74498,3.285148,0.31998196
Afghanistan,1995,16418911,390000,0.023753097,23.753097,2.2941,170000,0.010353914,103.53914,90000,0.005481484,5.4814843,,,,350000,0.021316882,21.316882,319000,0.019428816,19.428816,,,,,,,18000,0.001096297,1.0962968,19.440138,53.26065152,198.53577,3.802341,0.3748787
Afghanistan,1996,17106600,340000,0.01987537,19.87537,1.9429,175000,0.010229969,102.29969,56000,0.00327359,3.2735902,,,,283000,0.016543323,16.543323,254000,0.01484807,14.84807,,,,,,,16000,0.000935312,0.93531155,14.877024,40.75896946,151.87051,2.9065099,0.290651
Afghanistan,1997,17788818,400000,0.022486037,22.486037,2.2222,180000,0.010118716,101.18716,91000,0.005115573,5.1155733,,,,357000,0.020068787,20.068787,326000,0.018326119,18.326119,,,,,,,19000,0.001068087,1.0680867,18.32724,50.21161594,187.17523,3.582045,0.3528582
Afghanistan,1998,18493134,450000,0.024333356,24.333356,2.5,180000,0.009733343,97.33343,78000,0.004217782,4.2177816,,,,378000,0.020440018,20.440018,347000,0.018763721,18.763721,,,,,,,21000,0.001135557,1.1355566,18.76624,51.41435565,191.5738,3.6689055,0.35845628
Afghanistan,1999,19262854,280000,0.014535748,14.535748,2,140000,0.007267874,72.67874,106000,0.005502819,5.502819,,,,292000,0.015158709,15.158709,270000,0.014016614,14.016614,,,,,,,13000,0.000674874,0.67487406,14.0178795,38.40514893,143.16705,2.7392452,0.26977414
Afghanistan,2000,19542986,260000,0.013304006,13.304006,2,130000,0.006652003,66.52003,219000,0.011206066,11.206066,,,,392000,0.020058347,20.058347,372000,0.019034963,19.034963,,,,,,,12000,0.000614031,0.61403104,19.021645,52.11409537,194.25262,3.7200227,0.36884075
Afghanistan,2001,19688634,242000,0.012291355,12.291355,2,121000,0.006145678,61.456775,271000,0.013764286,13.764286,,,,432000,0.021941593,21.941593,411000,0.020874988,20.874988,,,,,,,11000,0.000558698,0.55869797,20.894083,57.24406244,213.3647,4.087737,0.40118375
Afghanistan,2002,21000258,388000,0.018475963,18.475963,2.8741,135000,0.006428492,64.284923,217000,0.010333207,10.3332065,,,,476000,0.02266639,22.66639,448000,0.02133307,21.33307,,,,,,,18000,0.000857132,0.8571323,21.314617,58.39621037,217.59729,4.1656547,0.41233635
Afghanistan,2003,22645136,434000,0.019165264,19.165264,2.9931,145000,0.006403141,64.03141,205000,0.009052717,9.052717,,,,494000,0.02181484,21.81484,460000,0.020313414,20.313414,,,,,,,20000,0.000883192,0.8831919,20.323992,55.68216931,207.466,3.9708855,0.3879014
Afghanistan,2004,23553554,463000,0.01965733,19.65733,2.3744,195000,0.008279005,82.79005,143000,0.00607127,6.0712704,,,,452000,0.01919031,19.19031,419000,0.017789247,17.789247,,,,,,,22000,0.000934042,0.9340416,17.794834,48.75296938,181.66026,3.4773858,0.34671882
Afghanistan,2005,24411196,485000,0.019867932,19.867932,3.0312998,160000,0.006554369,65.543693,155000,0.006349545,6.3495454,,,,479000,0.019622143,19.622143,445000,0.018229341,18.229341,,,,,,,23000,0.000942191,0.94219064,18.229828,49.94473375,186.12755,3.5644915,0.3462649
Afghanistan,2006,25442946,540000,0.021223957,21.223957,3.375,160000,0.00628858,62.8858,223000,0.008764708,8.764708,,,,583000,0.022914013,22.914013,546000,0.021459779,21.459779,,,,,,,25000,0.000982591,0.9825906,21.457432,58.78748434,219.05722,4.1907473,0.4130304
Afghanistan,2007,25903306,552000,0.021310022,21.310022,3.2470999,170000,0.006562869,65.62869,125000,0.004825639,4.825639,,,,494000,0.019070925,19.070925,455000,0.017565325,17.565325,,,,,,,26000,0.001003733,1.0037329,17.546804,48.07343514,179.15033,3.4279842,0.335678
Afghanistan,2008,26427204,612000,0.023157954,23.157954,3.2210999,190000,0.007189561,71.89561,124000,0.004692134,4.6921344,,,,532000,0.020130772,20.130772,490000,0.0185415,18.5415,,,,,,,29000,0.001097354,1.0973541,18.534683,50.77995292,189.19289,3.621014,0.35800987
Afghanistan,2009,27385310,645000,0.023552774,23.552774,3.225,200000,0.007303186,73.031858,29000,0.001058962,1.0589618,,,,459000,0.016760811,16.760811,415000,0.01515411,15.15411,,,,,,,30000,0.001095478,1.0954778,15.136278,41.46925438,154.59036,2.9544075,0.29341716
Afghanistan,2010,28189672,672000,0.023838518,23.838518,3.2308,208000,0.007378589,73.78589,137000,0.004859936,4.859936,,,,761000,0.026995702,26.995702,691000,0.024512524,24.512524,2000,7.0948E-05,0.07094797,,,,47000,0.001667277,1.6672773,24.519999,67.17807878,156.88998,3.1899998,0.39999998
Afghanistan,2011,29249156,672000,0.022975022,22.975022,3.1999998,210000,0.007179694,71.796943,189000,0.006461725,6.461725,,,,822000,0.028103376,28.103376,750000,0.025641765,25.641765,3000,0.000102567,0.102567064,,,,47000,0.001606884,1.606884,25.660004,70.30138012,164.21004,3.3400004,0.42000005
Afghanistan,2012,30466484,703000,0.023074538,23.074538,3.4292998,205000,0.006728706,67.287055,348000,0.011422388,11.422388,,,,829000,0.027210228,27.210228,764000,0.025076738,25.076738,9000,0.000295407,0.2954066,,,,35000,0.001148803,1.1488034,25.069996,68.68491986,160.28998,3.2499995,0.40999994
Afghanistan,2013,31541216,764000,0.024222275,24.222275,3.7268,205000,0.006499433,64.994325,331000,0.010494205,10.494205,,,,840000,0.026631821,26.631821,772000,0.024475912,24.475912,9000,0.000285341,0.28534094,,,,36000,0.001141364,1.1413638,24.489996,67.09587878,156.60997,3.1799996,0.39999995
Afghanistan,2014,32716214,801500,0.024498556,24.498556,3.6432,220000,0.006724495,67.244945,290000,0.008864107,8.864107,0,0,0,842000,0.025736474,25.736474,781000,0.023871955,23.871955,3000,9.16977E-05,0.09169765,,,,36000,0.001100372,1.1003718,23.859999,65.36985962,159.43999,3.2399998,0.40999997
Afghanistan,2015,33753500,612000,0.018131454,18.131454,3.7317,164000,0.004858756,48.587555,487000,0.014428133,14.428133,0,0,0,1033000,0.030604234,30.604234,986000,0.029211786,29.211786,1000,2.96266E-05,0.029626557,,,,29000,0.00085917,0.85917016,29.22,80.05479372,194.95,3.95,0.5
Afghanistan,2016,34636212,532200,0.015365422,15.365422,4.4723,119000,0.003435711,34.357107,477000,0.013771714,13.771714,0,0,0,848000,0.024483047,24.483047,807000,0.023299314,23.299314,4000,0.000115486,0.11548607,,,,25000,0.000721788,0.7217879,23.3,63.8356158,155.54,3.15,0.4
Afghanistan,2017,35643420,505100,0.014170919,14.170919,4.6148,109452,0.003070749,30.70749,644000,0.018067852,18.067852,0,0,0,968000,0.027157888,27.157888,928000,0.02603566,26.03566,5000,0.000140278,0.14027835,,,,24000,0.000673336,0.67333604,26.030003,71.315076,174.23001,3.5400002,0.47000003
Afghanistan,2018,36686788,525500,0.014323957,14.323957,4.4709,117539,0.003203851,32.03851,556000,0.01515532,15.15532,0,0,0,946000,0.02578585,25.78585,875000,0.023850547,23.850547,34000,0.000926764,0.92676416,,,,25000,0.000681444,0.68144425,23.849997,65.34245688,159.35997,3.2399993,0.4099999
Afghanistan,2019,37769496,570900,0.015115373,15.115373,4.4765997,127530,0.003376534,33.765344,384000,0.010166935,10.166935,1000,2.64764E-05,0.026476393,795000,0.021048732,21.048732,753000,0.019936724,19.936724,3000,7.94292E-05,0.07942918,,,,27000,0.000714863,0.7148626,19.930002,54.60274466,133.21002,2.7100003,0.34000003
Afghanistan,2020,38972236,655400,0.0168171,16.8171,4.4417,147555,0.003786157,37.86157,595000,0.015267279,15.267279,0,0,0,1034000,0.026531707,26.531707,978000,0.025094789,25.094789,11000,0.000282252,0.2822522,,,,31000,0.000795438,0.79543807,25.079996,68.71231712,160.45999,3.2599995,0.40999994
Afghanistan,2021,40099460,622300,0.015518912,15.518912,4.4065,141222,0.003521793,35.21793,497000,0.012394181,12.394181,,,,960000,0.023940472,23.940472,901000,0.022469131,22.469131,11000,0.000274318,0.27431792,,,,32000,0.000798016,0.79801574,22.48,61.58904048,143.99,2.93,0.37
Afghanistan,2022,41128772,592000,0.014393817,14.393817,4.625,128000,0.003112177,31.121767,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,1961,291178000,4307909,0.017371068,17.371068,1.5521044,2775528,0.011191946,111.91946,440000,0.001700377,1.7003771,306000,0.001339498,1.3394981,3174000,0.012265902,12.265902,2518000,0.009730795,9.7307945,156000,0.002623337,2.6233369,40000,0.000299516,0.29951567,296000,0.001273738,1.2737382,9.736215,26.67456138,98.47828,2.0545056,0.25816655
Africa,1962,298334460,5580715,0.021964759,21.964759,1.8007866,3099043,0.012197314,121.97314,488000,0.001842236,1.8422356,227000,0.000970241,0.9702411,3386000,0.012782397,12.782397,2621000,0.009894466,9.894466,188000,0.003086485,3.0864847,51000,0.000372496,0.37249643,352000,0.001479039,1.4790387,9.903005,27.13152028,100.212814,2.085742,0.26434633
Africa,1963,305755600,5813046,0.022325948,22.325948,1.9115674,3040984,0.011679393,116.79393,469000,0.001728983,1.7289832,426000,0.001777294,1.7772941,3600000,0.013271512,13.271512,2807000,0.010348094,10.348094,191000,0.003060468,3.0604682,55000,0.000391733,0.39173267,368000,0.001509372,1.5093719,10.341838,28.33380246,104.66353,2.175006,0.27478433
Africa,1964,313466080,5833869,0.021858314,21.858314,1.831432,3185414,0.011935095,119.35095,575000,0.002069588,2.0695883,566000,0.002304492,2.304492,3855000,0.01387524,13.87524,3044000,0.010956221,10.956221,194000,0.003033439,3.0334394,54000,0.000375007,0.37500696,381000,0.001525098,1.5250976,10.960727,30.02938874,110.861206,2.3202758,0.29012623
Africa,1965,321447400,5472291,0.019998103,19.998103,1.7471998,3132035,0.011445803,114.45803,705000,0.002476856,2.4768563,356000,0.001414232,1.4142315,3974000,0.01396174,13.96174,3194000,0.011221388,11.221388,169000,0.002579556,2.5795563,48000,0.00032491,0.32490995,380000,0.001484165,1.4841651,11.229846,30.76670106,113.434685,2.375953,0.2967341
Africa,1966,329658400,5558106,0.019806419,19.806419,1.7179288,3235353,0.011529244,115.29244,693000,0.00237587,2.3758698,381000,0.001476299,1.4762991,4055000,0.013902095,13.902095,3265000,0.011193672,11.193672,174000,0.002591796,2.5917958,48000,0.000316623,0.31662328,376000,0.001432448,1.4324477,11.192704,30.66494216,112.92318,2.3452678,0.28780332
Africa,1967,338159970,6618242,0.022992533,22.992533,1.8663713,3546048,0.012319378,123.19378,563000,0.001883118,1.8831183,486000,0.001836358,1.836358,4330000,0.014482953,14.482953,3436000,0.011492708,11.492708,213000,0.003094161,3.0941612,56000,0.000359915,0.35991482,428000,0.001590067,1.5900672,11.485689,31.46764078,115.866295,2.411248,0.2939701
Africa,1968,346980400,6970186,0.023604117,23.604117,1.9015254,3665576,0.012413254,124.13254,595000,0.001941159,1.941159,649000,0.002390852,2.3908517,4424000,0.014433088,14.433088,3487000,0.01137617,11.37617,219000,0.003102612,3.1026122,62000,0.000388157,0.3881566,452000,0.001637205,1.6372052,11.369774,31.15006544,114.723755,2.394511,0.29729113
Africa,1969,356070660,7133809,0.023546025,23.546025,1.9581168,3643199,0.012024832,120.24832,618000,0.001966134,1.966134,838000,0.00300925,3.0092502,4485000,0.014268788,14.268788,3522000,0.011205055,11.205055,224000,0.003095897,3.095897,69000,0.000420696,0.4206955,462000,0.001631258,1.6312579,11.205037,30.6987312,113.118744,2.3538609,0.29540685
Africa,1970,365450430,7280424,0.023417491,23.417491,1.9230797,3785815,0.012177078,121.77078,674000,0.002090786,2.0907857,730000,0.002554815,2.554815,4647000,0.014415254,14.415254,3669000,0.011381444,11.381444,232000,0.003128643,3.128643,64000,0.000379916,0.37991648,471000,0.001620827,1.6208267,11.372518,31.15758325,114.75495,2.3795223,0.2979007
Africa,1971,375086300,7358212,0.023065234,23.065234,1.8844157,3904771,0.012239992,122.39992,801000,0.002422634,2.4226343,558000,0.001903177,1.9031774,4946000,0.014959239,14.9592385,3982000,0.012043608,12.043608,218000,0.002869064,2.8690635,61000,0.000352547,0.3525467,479000,0.001606479,1.6064792,12.043095,32.99478049,121.581505,2.5125535,0.31308573
Africa,1972,384930780,7297579,0.02229686,22.29686,1.8986179,3843627,0.011743733,117.43733,741000,0.002184615,2.1846152,495000,0.001645043,1.6450427,5058000,0.01491199,14.91199,4080000,0.012028651,12.028651,217000,0.002786998,2.7869982,62000,0.000348834,0.34883386,486000,0.001588262,1.5882617,12.022157,32.93741611,121.31413,2.5063655,0.3087803
Africa,1973,395212400,7343175,0.021859538,21.859538,1.8500926,3969085,0.011815375,118.15375,977000,0.00280631,2.80631,340000,0.001100444,1.1004441,5365000,0.01541029,15.41029,4406000,0.012655683,12.655683,199000,0.002493309,2.493309,55000,0.000301159,0.30115922,488000,0.001553266,1.5532663,12.652795,34.66519143,127.357475,2.6260805,0.3155324
Africa,1974,406069220,7681711,0.02226412,22.26412,1.8948207,4054057,0.011749988,117.499875,956000,0.002674128,2.6741277,167000,0.000526155,0.526155,5499000,0.015381829,15.381829,4477000,0.012523085,12.523085,218000,0.002663285,2.663285,55000,0.000293025,0.29302522,516000,0.001598868,1.5988678,12.525825,34.31732842,126.17722,2.6029027,0.31364927
Africa,1975,417557000,8092564,0.0228154,22.8154,1.897636,4264550,0.012023063,120.23063,587000,0.001597451,1.5974512,120000,0.000367647,0.36764733,5494000,0.014951272,14.951272,4463000,0.012145528,12.145528,208000,0.002470696,2.4706963,60000,0.000310957,0.31095653,532000,0.001603125,1.6031254,12.135174,33.24705172,122.45344,2.529144,0.31047544
Africa,1976,429573250,7823911,0.021447057,21.447057,1.823656,4290234,0.011760473,117.60473,829000,0.002193477,2.1934768,260000,0.000774156,0.7741557,5749000,0.015211457,15.211457,4702000,0.012441168,12.441168,213000,0.00245485,2.45485,57000,0.000287407,0.28740743,538000,0.001575774,1.575774,12.442367,34.08867637,125.37989,2.6018486,0.31688887
Africa,1977,441701760,7967646,0.021239694,21.239694,1.7821574,4470787,0.011917967,119.17967,1548000,0.003983825,3.983825,263000,0.000761209,0.7612091,6524000,0.016789714,16.789714,5388000,0.013866182,13.866182,212000,0.002374555,2.3745548,63000,0.000308964,0.30896443,558000,0.001588892,1.5888917,13.865744,37.98833935,139.26463,2.863586,0.33077186
Africa,1978,454463040,8186104,0.021201197,21.201197,1.8118782,4518021,0.011701226,117.01226,1889000,0.004731398,4.7313976,154000,0.000433294,0.4332939,6922000,0.017337603,17.337603,5765000,0.014439654,14.439654,214000,0.00233176,2.3317602,57000,0.00027172,0.27171953,569000,0.00157522,1.5752201,14.443707,39.5717996,144.74602,2.9615624,0.33261457
Africa,1979,467976260,8480757,0.0213152,21.3152,1.7853252,4750259,0.011939113,119.39113,2262000,0.005515325,5.5153253,106000,0.000289869,0.289869,7395000,0.01803087,18.03087,6166000,0.015034259,15.034259,257000,0.002722865,2.7228645,60000,0.000278001,0.2780014,602000,0.001619991,1.6199907,15.03674,41.19654753,150.5435,3.0937967,0.3381489
Africa,1980,481543140,8599638,0.020977335,20.977335,1.8323348,4693268,0.011448418,114.48418,2326000,0.00551964,5.51964,116000,0.00030817,0.30817036,7771000,0.018440723,18.440723,6535000,0.015507673,15.507673,248000,0.002553636,2.5536364,63000,0.000283804,0.28380434,614000,0.001605354,1.605354,15.513696,42.50327629,155.29375,3.178317,0.3468576
Africa,1981,495655680,8562392,0.020297319,20.297319,1.7863926,4793119,0.011362182,113.62182,2594000,0.005981898,5.981898,109000,0.000281322,0.28132217,8071000,0.018612143,18.612143,6855000,0.015807984,15.807984,236000,0.002361034,2.3610336,56000,0.000245301,0.24530134,610000,0.001549599,1.5495988,15.804329,43.29953107,158.261,3.2379944,0.3450844
Africa,1982,510540600,8952675,0.020628793,20.628793,1.815219,4932008,0.011364355,113.64355,2862000,0.00641322,6.4132195,36000,9.02666E-05,0.090266556,8258000,0.018504672,18.504672,7011000,0.01571037,15.71037,238000,0.002312954,2.3129536,69000,0.000293874,0.29387444,634000,0.001564812,1.5648117,15.709855,43.0406982,156.96417,3.2071414,0.335653
Africa,1983,525335360,9100779,0.020381905,20.381905,1.8816986,4836470,0.010831652,108.31652,2780000,0.006055035,6.0550347,27000,6.57964E-05,0.065796376,8588000,0.018705266,18.705266,7412000,0.016143855,16.143855,158000,0.001490796,1.4907961,60000,0.000248359,0.24835908,648000,0.0015545,1.5544998,16.14717,44.23882148,161.45177,3.295633,0.35365614
Africa,1984,540183100,9127755,0.019872317,19.872317,1.8746207,4869121,0.010600713,106.00713,2565000,0.005434998,5.4349983,81000,0.000191911,0.1919106,8559000,0.018135732,18.135732,7365000,0.015605756,15.605756,162000,0.001483682,1.4836818,60000,0.000241349,0.2413491,658000,0.001534769,1.5347687,15.605423,42.75458313,156.47177,3.2118728,0.35560083
Africa,1985,555653000,9617008,0.020344164,20.344164,1.9397025,4957981,0.010488291,104.88291,2862000,0.005900737,5.900737,26000,5.98644E-05,0.059864364,8918000,0.018386712,18.386712,7666000,0.015805399,15.805399,184000,0.001635796,1.6357958,67000,0.000261956,0.26195575,690000,0.001564153,1.5641525,15.804499,43.29999683,158.1749,3.237039,0.3547463
